,alpha_0,alpha_1,beta_0,beta_1,alpha_0_hat,beta_0_hat,alpha_1_hat,beta_1_hat,benchmark,NS,ate,ate_hat,ate_error,policy_risk,baseline
33,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,-0.0034,0.004635870647458129,0.00803587064745813,0.040916832027388134,OBS Oracle
34,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,-0.0034,-0.1526449855188367,0.14924498551883672,0.04144731097236532,COM
35,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,-0.0034,-0.25924930012671926,0.25584930012671925,0.04144731097236532,COM-SL
36,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,-0.0034,-0.15460578072598638,0.1512057807259864,0.04144731097236532,RW
37,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,-0.0034,-0.25338597866065943,0.24998597866065944,0.04144731097236532,RW-SL
38,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,-0.0034,-0.22348309247356282,0.22008309247356284,0.04144731097236532,Proxy Oracle
39,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,-0.0034,-0.006226233388207228,0.002826233388207228,0.0421322342079442,Target Oracle
40,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,-0.0034,0.00033301045604242074,0.0037330104560424206,0.04122045146728604,OBS
41,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,-0.0034,-0.0677819933519002,0.0643819933519002,0.040933624652737616,OBS Oracle
42,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,-0.0034,-0.17278759721740333,0.16938759721740335,0.0416204329493413,COM
