,alpha_0,alpha_1,beta_0,beta_1,alpha_0_hat,beta_0_hat,alpha_1_hat,beta_1_hat,benchmark,NS,AU-ROC,ACC,do,baseline
45,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,0.38473543893442763,0.9607591690176969,1,Proxy Oracle
46,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,0.6932232449865723,0.945114131828674,0,Target Oracle
47,0.1,0,0.3,0,8.487309969495982e-06,0.6067941933870316,0.17093859612941742,0.8254169400315732,ohie,12994,0.7306878971556587,0.951013080276994,1,Target Oracle
48,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,0.3302727342742169,0.9571685047448064,0,OBS
49,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,0.33805325496482325,0.9599897409592203,1,OBS
50,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,0.6910904878346202,0.9487047961015646,0,OBS Oracle
51,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,0.7302605889968967,0.9548602205693768,1,OBS Oracle
52,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,0.34918346586569626,0.9571685047448064,0,COM
53,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,0.3855958472910116,0.9599897409592203,1,COM
54,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,0.33397834555968453,0.9574249807642985,0,COM-SL
55,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,0.3936236530412325,0.9599897409592203,1,COM-SL
56,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,0.33824553465416435,0.9571685047448064,0,RW
57,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,0.38677411510032406,0.9599897409592203,1,RW
58,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,0.4225447818189986,0.9528084124134394,0,RW-SL
59,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,0.36964213540489255,0.9599897409592203,1,RW-SL
60,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,0.3306433756281649,0.9571685047448064,0,Proxy Oracle
61,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,0.3733601868787549,0.9599897409592203,1,Proxy Oracle
62,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,0.6765063121345732,0.9456270838676584,0,Target Oracle
63,0.1,0,0.3,0,0.00047975030611269176,0.47751545906066895,3.2690055385364996e-17,0.9959342756774276,ohie,12994,0.7422419285229864,0.9558861246473455,1,Target Oracle
64,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,0.40049107947377904,0.9540907925109002,0,OBS
